,title,date,month,year,source,order_month,label,url
195,Pemerintah Kota Palu akan Hapus Kelurahan Petobo ,2020-01-01,January,2020,kominfo,1,,
196,Marzuki Alie Dihubungi oleh Pihak yang Mengatasnamakan Perusahaan Kaesang ,2020-01-01,January,2020,kominfo,1,,
197,Lelang Online Mengatasnamakan PT Pegadaian (Perser,2020-01-01,January,2020,kominfo,1,,
198,"Kinerja Buruk, Jokowi Akan Pecat Anies ",2020-01-01,January,2020,kominfo,1,,
199,Merokok Di Kabin Mobil Dapat Merusak AC ,2020-01-01,January,2020,kominfo,1,,
200,Toa Khusus Untuk Yang Seiman ,2020-01-01,January,2020,kominfo,1,,
201,Driver Ojol di Bekasi Tak Punya Handphone dan Menawarkan Order Dengan Cara ,2020-01-01,January,2020,kominfo,1,,
202,Boba Tidak Bisa Dicerna dan Masuk Empedu ,2020-01-01,January,2020,kominfo,1,,
203,Kanibal Kabur ke Baubau Sulawesi Tenggara ,2020-01-01,January,2020,kominfo,1,,
204,"Tak Diundang ke Sebuah Acara Baksos, Anies Numpang Tenar dan Muka Tembok ",2020-01-01,January,2020,kominfo,1,,
205,Tahun 2020 Kebun Raya Cibodas Dikontrakkan Ke Pihak Asing & Tiket Masuk Naik ,2020-01-01,January,2020,kominfo,1,,
206,000 ,2020-01-01,January,2020,kominfo,1,,
207,Pegawai Dishub Kota Bekasi Palak Supir Menggunakan Golok di Pulo Gadung ,2020-01-01,January,2020,kominfo,1,,
208,Undangan Acara Diklat Keuangan dan Perpajakan Nasional Mengatasnamakan PKN ,2020-01-01,January,2020,kominfo,1,,
209,Foto-foto Pembantaian Unta Pasca Kebakaran Hutan di Australia ,2020-01-01,January,2020,kominfo,1,,
210,Pejabat Kominfo Kepergok Bersetubuh Dalam Mobil di Sebuah Mall ,2020-01-01,January,2020,kominfo,1,,
211,Monas Bukan Untuk RTH tapi Untuk Formula E ,2020-01-01,January,2020,kominfo,1,,
212,Email Berisi Surat Panggilan Tes Calon Karyawan PAngkasa Pura II (Perser,2020-01-01,January,2020,kominfo,1,,
213,Waspada Foto Pelaku Penculik Anak ,2020-01-01,January,2020,kominfo,1,,
214,Info Jadwal Razia STNK di Batam ,2020-01-01,January,2020,kominfo,1,,
